All along, as I reported at the time, Sarah had wanted to take her baby with her.	for the entire time, as I reported at the time, Sarah had wanted to take her baby with her.	
It is only a rough-and-ready estimating method, but one which can be very useful (if its limitations are recognised).	It is only a imperfect but able to use estimating method, but one which can be very useful (if its limitations are recognised).	
ANYONE who thinks the economy is turning the corner must be round the bend.	ANYONE who thinks the economy is turning the corner must be crazy.	
But if you are going round the bend and resist seeking any help you are deemed to be perfectly okay.	But if you are going crazy and resist seeking any help you are deemed to be perfectly okay.	
If you are known to be seeing a shrink you are deemed to be going round the bend.	If you are known to be seeing a shrink you are deemed to be going crazy.	
But yesterday, possums, Dame Edna Everage revealed that she was fed up with rubbing shoulders with the rich and famous.	But yesterday, possums, Dame Edna Everage revealed that she was fed up with mingle socially with the rich and famous.	
I was even lucky enough to rub shoulders with my perspiring hero Mickey Mouse, under a maze of tunnels beneath Paramount studios three years ago.	I was even lucky enough to mingle socially with my perspiring hero Mickey Mouse, under a maze of tunnels beneath Paramount studios three years ago.	
While there are formal rules by which discretion is effected, research shows that the primary means for standardizing its operation is the set of informal on-the-job rules of thumb developed within the occupational culture of the police.	While there are formal rules by which discretion is effected, research shows that the primary means for standardizing its operation is the set of informal on-the-job intuitive guideline developed within the occupational culture of the police.	
As a rule of thumb, this element in the main system model can be considered as monitoring the performance of the system as a whole (for example, ensuring that residents are happily domiciled and day clients receive appropriate support), and setting, then maintaining, the standards of each sub-system (Fig 11.8).	As a intuitive guideline, this element in the main system model can be considered as monitoring the performance of the system as a whole (for example, ensuring that residents are happily domiciled and day clients receive appropriate support), and setting, then maintaining, the standards of each sub-system (Fig 11.8).	
‘ It's amazing that Barry Norman, a cosy sort of guy, has ruled the roost on British television for 20 years and there has never been a real attempt to displace him before, ’ says cinema historian and Anthony Hopkins biographer Quentin Falk.	‘ It's amazing that Barry Norman, a cosy sort of guy, has was the controlling memwasr of the group on British television for 20 years and there has never been a real attempt to displace him before, ’ says cinema historian and Anthony Hopkins biographer Quentin Falk.	
‘ It's amazing that Barry Norman, a cosy sort of guy, has ruled the roost on British television for 20 years and there has never been a real attempt to displace him before, ’ says cinema historian and Anthony Hopkins biographer Quentin Falk.	‘ It's amazing that Barry Norman, a cosy sort of guy, has was the boss on British television for 20 years and there has never been a real attempt to displace him before, ’ says cinema historian and Anthony Hopkins biographer Quentin Falk.	
And sure enough they do panic and run amok, and ‘ the almost mystical terror which suddenly took hold of our authorities ’ completes the ruinous and negative side of the Gadarene story.	And sure enough they do panic and go on a rampage, and ‘ the almost mystical terror which suddenly took hold of our authorities ’ completes the ruinous and negative side of the Gadarene story.	
And sure enough they do panic and run amok, and ‘ the almost mystical terror which suddenly took hold of our authorities ’ completes the ruinous and negative side of the Gadarene story.	And sure enough they do panic and act chaotically, and ‘ the almost mystical terror which suddenly took hold of our authorities ’ completes the ruinous and negative side of the Gadarene story.	
Couples, second in the Sony rankings to Faldo, is still coming to terms with the adulation heaped on him after Augusta but is prepared to run the gauntlet again if it means winning a second Major.	Couples, second in the Sony rankings to Faldo, is still coming to terms with the adulation heaped on him after Augusta but is prepared to undertake numerous difficult tasks again if it means winning a second Major.	
Don't run the gauntlet	Don't undertake numerous difficult tasks	
If Lord's has any thoughts for the anxiety felt by the families at the thought of England's players running a gauntlet of violence for 11 weeks the tour should be called of.	If Lord's has any thoughts for the anxiety felt by the families at the thought of England's players undertaking numerous difficult tasks of violence for 11 weeks the tour should be called of.	
By providing Japan with the opportunity to save face and make an orderly withdrawal from drift-net fishing, the UN Second Committee bound them into a commitment to cease drift-net operations in the near future — an astonishing achievement for a campaign which had only really gathered momentum 10 months earlier, with the sinking of the Sankichi Maru.	By providing Japan with the opportunity to regain some favorable standing after an embarrassment and make an orderly withdrawal from drift-net fishing, the UN Second Committee bound them into a commitment to cease drift-net operations in the near future — an astonishing achievement for a campaign which had only really gathered momentum 10 months earlier, with the sinking of the Sankichi Maru.	
Seeing red over green tax	becoming enraged over green tax	
Seeing red over green tax	angry over green tax	
‘ But that is a ridiculous argument because it would look like sour grapes as none of our county players were selected.	‘ But that is a ridiculous argument because it would look like complaining as none of our county players were selected.	
‘ Our defenders completely snuffed out the threat from Norwich's Mark Robins and Darren Beckford and that speaks volumes for us, ’ added Dozzell.	‘ Our defenders completely snuffed out the threat from Norwich's Mark Robins and Darren Beckford and that provides substantial information for us, ’ added Dozzell.	
‘ Our defenders completely snuffed out the threat from Norwich's Mark Robins and Darren Beckford and that speaks volumes for us, ’ added Dozzell.	‘ Our defenders completely snuffed out the threat from Norwich's Mark Robins and Darren Beckford and that reveals a great deal of information for us, ’ added Dozzell.	
In the same way, business executives or cabinet ministers may be making a hash of things while giving an outward appearance of calm confidence — Chancellor Norman Lamont springs to mind immediately.	In the same way, business executives or cabinet ministers may be making a hash of things while giving an outward appearance of calm confidence — Chancellor Norman Lamont occurs as possibilities immediately.	
In the same way, business executives or cabinet ministers may be making a hash of things while giving an outward appearance of calm confidence — Chancellor Norman Lamont springs to mind immediately.	In the same way, business executives or cabinet ministers may be making a hash of things while giving an outward appearance of calm confidence — Chancellor Norman Lamont becomes immediately salient immediately.	
Let me tell you of the images that spring to my mind when we talk about water.	Let me tell you of the images that occur as possibilities when we talk about water.	
Let me tell you of the images that spring to my mind when we talk about water.	Let me tell you of the images that become immediately salient when we talk about water.	
This was their central point and they found evidence to support it which has stood the test of time.	This was their central point and they found evidence to support it which has last a long time.	
This was their central point and they found evidence to support it which has stood the test of time.	This was their central point and they found evidence to support it which has was important over a long period of time.	
In last season's All Ireland decider he again stole the show with a goal and four points.	In last season's All Ireland decider he again be the most exciting part surprisingly with a goal and four points.	
Kevin played to 50,000 at Glastonbury, stole the show at the Cambridge but somehow his name never quite stuck.	Kevin played to 50,000 at Glastonbury, be the most exciting part surprisingly at the Cambridge but somehow his name never quite stuck.	
Cantona tried hard to get involved, and within five minutes might have stolen the show, had it not been for a fine interception by Keith Curle following a fine run and cross down the left by Lee Sharpe.	Cantona tried hard to get involved, and within five minutes might have was the most exciting part surprisingly, had it not been for a fine interception by Keith Curle following a fine run and cross down the left by Lee Sharpe.	
Mr Bodison all but steals the show.	Mr Bodison all but is the most exciting part surprisingly.	
‘ He has a cult following among our supporters, and he deserves it because he is streets ahead of any left-back in our division, ’ enthused Keegan.	‘ He has a cult following among our supporters, and he deserves it because he is far superior of any left-back in our division, ’ enthused Keegan.	
The Prime Minister believes that her words strike a chord with the British public.	The Prime Minister believes that her words elicit a significant reaction with the British public.	
The Prime Minister believes that her words strike a chord with the British public.	The Prime Minister believes that her words elicit an emotional response with the British public.	
‘ We've got a decent team but no-one here is going to tempt fate by saying what we can and can't win . ’	‘ We've got a decent team but no-one here is going to take an extreme risk by saying what we can and can't win . ’	
So now, like Virgin founder Richard Branson before him, Sugar has decided to throw in the towel and buy his firm back.	So now, like Virgin founder Richard Branson before him, Sugar has decided to quit and buy his firm back.	
So now, like Virgin founder Richard Branson before him, Sugar has decided to throw in the towel and buy his firm back.	So now, like Virgin founder Richard Branson before him, Sugar has decided to give up and buy his firm back.	
IT'S now possible to tie the knot in 14 different exotic locations in the new Kuoni Weddings brochure.	IT'S now possible to marry in 14 different exotic locations in the new Kuoni Weddings brochure.	
Japanese authorities have turned a blind eye to the rapid expansion of their drift-net fleet.	Japanese authorities have willfully ignore to the rapid expansion of their drift-net fleet.	
Turning the Corner.	passing out of danger.	
I'm afraid we're just going to have to weather this for a while, and gloat twice as much when we turn the tables.	I'm afraid we're just going to have to weather this for a while, and gloat twice as much when we turn a position of disadvantage into one of advantage.	
It is in this context that Marx and Engels finally turn the tables on the ideas of philosophers who, like Hegel, had argued about the primacy of ideas, especially the idea of the State, as though these ideas had formed the processes of history rather than the other way round.	It is in this context that Marx and Engels finally turn a position of disadvantage into one of advantage on the ideas of philosophers who, like Hegel, had argued about the primacy of ideas, especially the idea of the State, as though these ideas had formed the processes of history rather than the other way round.	
British Airways, British Aerospace and Rolls Royce are all under a cloud at the moment, for instance.	British Airways, British Aerospace and Rolls Royce are all under suspicion at the moment, for instance.	
Also it might be that those who suffer from SAD differ from most people only because they are more susceptible than the rest of the population to feeling ‘ under the weather ’ when they do not see daylight, particularly in the morning.	Also it might be that those who suffer from SAD differ from most people only because they are more susceptible than the rest of the population to feeling ‘ somewhat ill ’ when they do not see daylight, particularly in the morning.	
Comedian Tom O'Connor plays off a handicap of 10 but his Christmas offering From The Wood to the Tees (Robson, £10.95) comes up to scratch.	Comedian Tom O'Connor plays off a handicap of 10 but his Christmas offering From The Wood to the Tees (Robson, £10.95) comes satisfactory.	
People can now see them warts and all.	People can now see them full range of characteristics including shortcomings.	
The report offers no explanation for our figures being wide of the mark.	The report offers no explanation for our figures being inaccurate.	
All across the board, we get kids from every walk of life.	All in all aspects, we get kids from every walk of life.	
All across the board, we get kids from every walk of life.	All applying to all, we get kids from every walk of life.	
We told Kelly all along what the doctors were saying.	We told Kelly for the entire time what the doctors were saying.	
We told Kelly all along what the doctors were saying.	We told Kelly the entire time what the doctors were saying.	
We told Kelly all along what the doctors were saying.	We told Kelly from the very beginning what the doctors were saying.	
Yet Clark had known all along of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	Yet Clark had known for the entire time of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	
Yet Clark had known all along of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	Yet Clark had known the entire time of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	
Yet Clark had known all along of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	Yet Clark had known from the very beginning of the military preparations ‘ Musketeer I ’ and ‘ Musketeer II ’ and had been dismayed when Dulles seemed to have aborted them with his Suez Canal Users Club; and after the Anglo-French meeting in London in September he had put out ‘ a dull communiqué, and no one has the least idea of what big things were abroad'.	
‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained all along that there should not have been a re-match.	‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained for the entire time that there should not have been a re-match.	
‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained all along that there should not have been a re-match.	‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained the entire time that there should not have been a re-match.	
‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained all along that there should not have been a re-match.	‘ It was an absolutely ridiculous decision, ’ said Kelly, who has maintained from the very beginning that there should not have been a re-match.	
‘ And we are going all over the place.	‘ And we are going in many different locations.	
‘ And we are going all over the place.	‘ And we are going not well organized.	
Clare Stewart, who scored with Blenheim Group, reckons that drugs will be all the rage in 1993 and selects Glaxo as a winner.	Clare Stewart, who scored with Blenheim Group, reckons that drugs will be very popular in 1993 and selects Glaxo as a winner.	
ALL AT SEA	ALL confused	
At the end of the day, Wilko knows what he s told them all to do.	ultimately, Wilko knows what he s told them all to do.	
At the end of the day, Wilko knows what he s told them all to do.	most importantly, Wilko knows what he s told them all to do.	
At the end of the day, Wilko knows what he s told them all to do.	when everything is taken into consideration, Wilko knows what he s told them all to do.	
Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because at the end of the day you have to win games . ’	Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because ultimately you have to win games . ’	
Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because at the end of the day you have to win games . ’	Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because most importantly you have to win games . ’	
Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because at the end of the day you have to win games . ’	Graham was unhappy that his forwards again failed to convert a succession of chances against Ipswich on Saturday, and said: ‘ Maybe I'll have to leave one or two skilful players out, because when everything is taken into consideration you have to win games . ’	
At the end of the day he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	ultimately he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	
At the end of the day he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	most importantly he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	
At the end of the day he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	when everything is taken into consideration he employs us and if he insists, we shall have to go straight into fourth gear to prepare for it.	
SILENCE Of The Lambs star Anthony Hopkins, above, was back behind bars again yesterday for the opening of an addiction centre at Downview prison in Sutton, Surrey.	SILENCE Of The Lambs star Anthony Hopkins, above, was back in prison again yesterday for the opening of an addiction centre at Downview prison in Sutton, Surrey.	
Now Vernage is back behind bars and it will be at least 25 years before he comes out to scare anyone again.	Now Vernage is back in prison and it will be at least 25 years before he comes out to scare anyone again.	
Ordered to be replayed behind closed doors by the FA after an inquiry into last week's coin-throwing incident, the game posed as many questions as it answered.	Ordered to be replayed without an audience watching by the FA after an inquiry into last week's coin-throwing incident, the game posed as many questions as it answered.	
The strict rules of disposing of redundant vehicles by public tender was forgotten for the rest of the stock, dismantled very much behind closed doors at Derby Works.	The strict rules of disposing of redundant vehicles by public tender was forgotten for the rest of the stock, dismantled very much without an audience watching at Derby Works.	
BATTLER: P.K. (Stephen Dorff) boxes clever	BATTLER: P.K. (Stephen Dorff) act wisely	
by heart, by hand	from unaided memory and in full detail, by hand	
Former leaders chew the fat at Claridge 's	Former leaders chat idly at Claridge 's	
Marriage isn't child's play	Marriage isn't easy	
Here, talking exclusively to Steve Acteson, Hearn has come clean to laugh at his disasters and the worst decisions of his career.	Here, talking exclusively to Steve Acteson, Hearn has be completely honest to laugh at his disasters and the worst decisions of his career.	
Here, talking exclusively to Steve Acteson, Hearn has come clean to laugh at his disasters and the worst decisions of his career.	Here, talking exclusively to Steve Acteson, Hearn has admit the truth to laugh at his disasters and the worst decisions of his career.	
But I did decide to simplify things by coming clean from the start.	But I did decide to simplify things by being completely honest from the start.	
But I did decide to simplify things by coming clean from the start.	But I did decide to simplify things by admiting the truth from the start.	
Bea came clean after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	Bea was completely honest after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	
Bea came clean after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	Bea admited the truth after Benny's star-studded send-off at a memorial service in London's Covent Garden this week.	
Unfortunately, I'll have to come clean; that story is only a rumour.	Unfortunately, I'll have to be completely honest; that story is only a rumour.	
Unfortunately, I'll have to come clean; that story is only a rumour.	Unfortunately, I'll have to admit the truth; that story is only a rumour.	
Then Nigel got injured so the thing never came to a head.	Then Nigel got injured so the thing never reached a turning point.	
Then Nigel got injured so the thing never came to a head.	Then Nigel got injured so the thing never reached a point where something must be done about it.	
‘ The whole thing had come to a horrible head and a lot of hurt has been suffered by both of them throughout the summer.	‘ The whole thing had reach a turning point and a lot of hurt has been suffered by both of them throughout the summer.	
‘ The whole thing had come to a horrible head and a lot of hurt has been suffered by both of them throughout the summer.	‘ The whole thing had reach a point where something must be done about it and a lot of hurt has been suffered by both of them throughout the summer.	
It all came to a head in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	It all reached a turning point in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	
It all came to a head in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	It all reached a point where something must be done about it in what proved to be Lineker's final game, when as England were trailing against Sweden in Stockholm, Taylor pulled him off.	
Things came to a head this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	Things reached a turning point this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	
Things came to a head this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	Things reached a point where something must be done about it this year when the full extent of Charles's friendship with Camilla Parker Bowles was revealed by royal author Andrew Morton.	
On March 20 and October 9, Saturn and Pluto cross swords for the first time in two decades.	On March 20 and October 9, Saturn and Pluto quarrel for the first time in two decades.	
Brave mower men cut a dash for wet spring	Brave mower men give a conspicuous impression for wet spring	
But Mr Lawson has to show he knows how to do the trick, before he can win his argument, in theory or in the markets.	But Mr Lawson has to show he knows how to achieve the desired result, before he can win his argument, in theory or in the markets.	
In Canada the British not only deluded themselves that they had defeated the axiom; they also imagined it was the federal ingredient that had enabled them to do the trick.	In Canada the British not only deluded themselves that they had defeated the axiom; they also imagined it was the federal ingredient that had enabled them to achieve the desired result.	
In view of the Warc footnote, this statement seems to have been economical with the truth.	In view of the Warc footnote, this statement seems to have been untruthful.	
In view of the Warc footnote, this statement seems to have been economical with the truth.	In view of the Warc footnote, this statement seems to have been lying.	
He thought I had been economical with the truth.	He thought I had been untruthful.	
He thought I had been economical with the truth.	He thought I had been lying.	
Compared to sex offences on children, which cause universal shock and horror to policemen, in the masculine occupational culture of the station women are sex objects and, in other circumstances, would be considered ‘ fair game ’.	Compared to sex offences on children, which cause universal shock and horror to policemen, in the masculine occupational culture of the station women are sex objects and, in other circumstances, would be considered ‘ an acceptable target ’.	
The implication of this is that something that is no longer capable of supporting you — this may involve beliefs and people as much as material structures — will fall by the wayside.	The implication of this is that something that is no longer capable of supporting you — this may involve beliefs and people as much as material structures — will fail to be completed.	
The implication of this is that something that is no longer capable of supporting you — this may involve beliefs and people as much as material structures — will fall by the wayside.	The implication of this is that something that is no longer capable of supporting you — this may involve beliefs and people as much as material structures — will be discarded in favor of more urgent matters.	
Portmouth's Andy Awford fits the bill.	Portmouth's Andy Awford serves the purpose.	
Portmouth's Andy Awford fits the bill.	Portmouth's Andy Awford is appropriate.	
Canaries fly in face of opposition	Canaries act in a manner highly contrary to opposition	
Canaries fly in face of opposition	Canaries contradict opposition	
Canaries fly in face of opposition	Canaries defy opposition	
But new borrowers will not get the repossessed homes for a song.	But new borrowers will not get the repossessed homes very cheaply.	
Me too, but good luck for the time being Susan.	Me too, but good luck temporarily Susan.	
Me too, but good luck for the time being Susan.	Me too, but good luck until a later time Susan.	
They would be more than willing to move as long as Leeds council offered them a suitable alternative with security of tenure (this in effect means building them a brand new stadium from scratch).	They would be more than willing to move as long as Leeds council offered them a suitable alternative with security of tenure (this in effect means building them a brand new stadium from the beginning).	
They would be more than willing to move as long as Leeds council offered them a suitable alternative with security of tenure (this in effect means building them a brand new stadium from scratch).	They would be more than willing to move as long as Leeds council offered them a suitable alternative with security of tenure (this in effect means building them a brand new stadium completely from the beginning).	
‘ In the one-day game you have to be positive and go for it from the word go.	‘ In the one-day game you have to be positive and go for it from the outset.	
‘ In the one-day game you have to be positive and go for it from the word go.	‘ In the one-day game you have to be positive and go for it immediately upon starting.	
GET A GRIP ON THE LATEST ACTION	be reasonable ON THE LATEST ACTION	
( It must be said that the RTOA also contributed to its own downfall, by failing to get a grip on in-fighting among its own members . )	( It must be said that the RTOA also contributed to its own downfall, by failing to be reasonable on in-fighting among its own members . )	
I actually thought it was a REALLY good move buying him, but now … well, I say say bin him, and go for broke and get Ferdinand (f*** the bank balance!).	I actually thought it was a REALLY good move buying him, but now … well, I say say bin him, and try everything possible in a final attempt and get Ferdinand (f*** the bank balance!).	
Let the dust settle then go for broke — by the time anyone realises what's going on it will be too late and everyone can have a good time and relax.	Let the dust settle then try everything possible in a final attempt — by the time anyone realises what's going on it will be too late and everyone can have a good time and relax.	
Go for broke, and be undeterred in your search for the possible dream.	try everything possible in a final attempt, and be undeterred in your search for the possible dream.	
For golfers who believe the joys of the course and delights of the table go hand-in-hand, there's the Gourmet Golf Guide by Iain Crawford (£7.99, Lochar Publishing) from good book shops.	For golfers who believe the joys of the course and delights of the table be closely associated to, there's the Gourmet Golf Guide by Iain Crawford (£7.99, Lochar Publishing) from good book shops.	
Hunched in a remote and subordinate cranny of government — devising a rent bill at the Ministry of Housing and Local Government, as a matter of fact — I was not disposed to go overboard when our armed forces were launched into the attack in November; but what on earth was intended to come out of it and how an occupation found untenable could be tenably restored and sustained by force was beyond the comprehension of this unmoved spectator.	Hunched in a remote and subordinate cranny of government — devising a rent bill at the Ministry of Housing and Local Government, as a matter of fact — I was not disposed to be very enthusiastic when our armed forces were launched into the attack in November; but what on earth was intended to come out of it and how an occupation found untenable could be tenably restored and sustained by force was beyond the comprehension of this unmoved spectator.	
The only guy who would have been stupid enough to buy went overboard and drowned last year . ’	The only guy who would have been stupid enough to buy was very enthusiastic and drowned last year . ’	
And the result of that, according to the Forum of Private Business, can be that they go to the wall, taking hundreds of jobs with them.	And the result of that, according to the Forum of Private Business, can be that they fail, taking hundreds of jobs with them.	
‘ It would be extremely sad to see this railway go to the wall, after so many volunteers have put in so much time and money to keep steam travel alive in Hampshire . ’	‘ It would be extremely sad to see this railway fail, after so many volunteers have put in so much time and money to keep steam travel alive in Hampshire . ’	
Thousands of companies went to the wall.	Thousands of companies fail.	
In the first six months of this year nearly 30,000 small firms went to the wall — a third up on 1991.	In the first six months of this year nearly 30,000 small firms fail — a third up on 1991.	
Big guns go west without Barnes	Big guns die without Barnes	
ENGLAND'S winter cricket tour to India received the green light yesterday despite the recent fierce rioting on the sub-continent between rival Muslim and Hindu factions.	ENGLAND'S winter cricket tour to India received the permission yesterday despite the recent fierce rioting on the sub-continent between rival Muslim and Hindu factions.	
ARSENAL manager George Graham has been given the green light to go on a Christmas spending spree.	ARSENAL manager George Graham has been given the permission to go on a Christmas spending spree.	
Huge capital schemes, given an amber light in the Autumn Statement, could get the green light straight away.	Huge capital schemes, given an amber light in the Autumn Statement, could get the permission straight away.	
Green light	permission	
This is a time of tension when the stakes may be high and a future plan hangs by a thread.	This is a time of tension when the stakes may be high and a future plan is in a precarious situation.	
This is a time of tension when the stakes may be high and a future plan hangs by a thread.	This is a time of tension when the stakes may be high and a future plan is in a highly precarious state.	
Having a ball …	having fun …	
Bernie has a ball	Bernie has fun	
For the high and mighty only appear so because we are on our knees.	For the ostentatiously self-important only appear so because we are on our knees.	
It's only when you can put a famous face to sexual activity that the preposterousness of the whole event really hits home and even if that doesn't stop you from participating ever again, it will certainly put you off meat for 24 hours.	It's only when you can put a famous face to sexual activity that the preposterousness of the whole event really is especially meaningful and even if that doesn't stop you from participating ever again, it will certainly put you off meat for 24 hours.	
TODAY racing experts hit the jackpot at Sedgefield yesterday.	TODAY racing experts have a big success at Sedgefield yesterday.	
Alton College hit jackpot	Alton College have a big success	
This argument just does not hold water.	This argument just does not withstand criticism.	
That, in a nutshell, is climbing, whether in a seige-style expedition or by abandoning oxygen and the safety of a fixed rope to test still further the fine balance between risk and survival.	That, briefly stated, is climbing, whether in a seige-style expedition or by abandoning oxygen and the safety of a fixed rope to test still further the fine balance between risk and survival.	
That, in a nutshell, is climbing, whether in a seige-style expedition or by abandoning oxygen and the safety of a fixed rope to test still further the fine balance between risk and survival.	That, in summary, is climbing, whether in a seige-style expedition or by abandoning oxygen and the safety of a fixed rope to test still further the fine balance between risk and survival.	
In the past, anything neatly encapsulated was said to be ‘ like The Iliad in a nutshell ’ — a reference to the ancient Greek epic which Roman historian Pliny maintained could be written on a piece of paper small enough to fit in a walnut.	In the past, anything neatly encapsulated was said to be ‘ like The Iliad briefly stated ’ — a reference to the ancient Greek epic which Roman historian Pliny maintained could be written on a piece of paper small enough to fit in a walnut.	
In the past, anything neatly encapsulated was said to be ‘ like The Iliad in a nutshell ’ — a reference to the ancient Greek epic which Roman historian Pliny maintained could be written on a piece of paper small enough to fit in a walnut.	In the past, anything neatly encapsulated was said to be ‘ like The Iliad in summary ’ — a reference to the ancient Greek epic which Roman historian Pliny maintained could be written on a piece of paper small enough to fit in a walnut.	
They were murdered in cold blood.	They were murdered in a ruthless manner.	
They were murdered in cold blood.	They were murdered ruthlessly.	
AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back in full swing on the tour to India.	AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back proceeding fully on the tour to India.	
AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back in full swing on the tour to India.	AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back thoroughly begun and in progress on the tour to India.	
AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back in full swing on the tour to India.	AFTER a two-and-a-half-year lull I fully expect my great friendship with Graham Gooch to be back at a stage when the level of activity is at its highest on the tour to India.	
The Macari honeymoon period is in full swing and there's a determination and self-belief about the players which hasn't been visible for some time.	The Macari honeymoon period is proceeding fully and there's a determination and self-belief about the players which hasn't been visible for some time.	
The Macari honeymoon period is in full swing and there's a determination and self-belief about the players which hasn't been visible for some time.	The Macari honeymoon period is thoroughly begun and in progress and there's a determination and self-belief about the players which hasn't been visible for some time.	
The Macari honeymoon period is in full swing and there's a determination and self-belief about the players which hasn't been visible for some time.	The Macari honeymoon period is at a stage when the level of activity is at its highest and there's a determination and self-belief about the players which hasn't been visible for some time.	
In the light of current data for non-insulin-dependent diabetics without evidence of nephropathy and whose diastolic blood pressure is less than 110 mm Hg, the high-fibre low-fat and low-sodium diet described earlier appears to be the preferred therapy and should be continued for at least three months.	considering current data for non-insulin-dependent diabetics without evidence of nephropathy and whose diastolic blood pressure is less than 110 mm Hg, the high-fibre low-fat and low-sodium diet described earlier appears to be the preferred therapy and should be continued for at least three months.	
In the light of current data for non-insulin-dependent diabetics without evidence of nephropathy and whose diastolic blood pressure is less than 110 mm Hg, the high-fibre low-fat and low-sodium diet described earlier appears to be the preferred therapy and should be continued for at least three months.	given current data for non-insulin-dependent diabetics without evidence of nephropathy and whose diastolic blood pressure is less than 110 mm Hg, the high-fibre low-fat and low-sodium diet described earlier appears to be the preferred therapy and should be continued for at least three months.	
The three stages of the exercise are: examination of personal values of the participants; evaluation of existing services in the light of values expressed; and a focus on ways of changing services so that carers can have access to ‘ valued lifestyles for themselves, as well as for the people they care for ’.	The three stages of the exercise are: examination of personal values of the participants; evaluation of existing services considering values expressed; and a focus on ways of changing services so that carers can have access to ‘ valued lifestyles for themselves, as well as for the people they care for ’.	
The three stages of the exercise are: examination of personal values of the participants; evaluation of existing services in the light of values expressed; and a focus on ways of changing services so that carers can have access to ‘ valued lifestyles for themselves, as well as for the people they care for ’.	The three stages of the exercise are: examination of personal values of the participants; evaluation of existing services given values expressed; and a focus on ways of changing services so that carers can have access to ‘ valued lifestyles for themselves, as well as for the people they care for ’.	
For instance, if a country concerned still employs traditional systems which, in the light of more modern techniques, appear to be detrimental to public health, it may be desirable to change patterns of behaviour in, say, nutrition or hygiene.	For instance, if a country concerned still employs traditional systems which, considering more modern techniques, appear to be detrimental to public health, it may be desirable to change patterns of behaviour in, say, nutrition or hygiene.	
