‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	‘ Well, it's a recognised symptom of the condition that an attack can come without warning.	1.0
After five bitter weeks the NUAW succeeded in holding the line — but only just.	After five bitter weeks the NUAW succeeded in firmly maintain the situation — but only just.	1.0
We completed the agenda with time to spare and set about the ‘ European’ items with a will.	We completed the agenda with time to spare and set about the ‘ European’ items resolutely.	1.0
We completed the agenda with time to spare and set about the ‘ European’ items with a will.	We completed the agenda with time to spare and set about the ‘ European’ items earnestly.	1.0
We completed the agenda with time to spare and set about the ‘ European’ items with a will.	We completed the agenda with time to spare and set about the ‘ European’ items heartily.	1.0
Yes I'll just try these erm solder up this service switch and er everything else seems alright, there's no anywhere, mind you it's nine times out of ten it 'll	Yes I'll just try these erm solder up this service switch and er everything else seems alright, there's no anywhere, mind you it's mostly it 'll	1.0
On the face of it, the statutory town - planning system of plan preparation and development control could meet the requirements of this new challenge.	at first glance, the statutory town - planning system of plan preparation and development control could meet the requirements of this new challenge.	1.0
On the face of it, the statutory town - planning system of plan preparation and development control could meet the requirements of this new challenge.	at first glance, the statutory town - planning system of plan preparation and development control could meet the requirements of this new challenge.	1.0
So er we used to go through the motions and er after about er three weeks I think it was, no, yeah, two or three weeks anyway.	So er we used to do things in a perfunctory way and er after about er three weeks I think it was, no, yeah, two or three weeks anyway.	1.0
For over 200 years, up to the middle of the nineteenth century, whilst the Industrial Revolution was in full swing in Europe and North America, Japan was in a state of almost total seclusion.	For over 200 years, up to the middle of the nineteenth century, whilst the Industrial Revolution was proceeding fully in Europe and North America, Japan was in a state of almost total seclusion.	1.0
For over 200 years, up to the middle of the nineteenth century, whilst the Industrial Revolution was in full swing in Europe and North America, Japan was in a state of almost total seclusion.	For over 200 years, up to the middle of the nineteenth century, whilst the Industrial Revolution was thoroughly begun and in progress in Europe and North America, Japan was in a state of almost total seclusion.	1.0
By the same token we should build more fighter aircraft so that expensively trained officers may be' enabled to get back to work . '	in a similar manner we should build more fighter aircraft so that expensively trained officers may be' enabled to get back to work . '	1.0
By the same token we should build more fighter aircraft so that expensively trained officers may be' enabled to get back to work . '	for a similar reason we should build more fighter aircraft so that expensively trained officers may be' enabled to get back to work . '	1.0
It should go without saying that your needs and expectations are the same as those of able - bodied students.	It should be obvious that your needs and expectations are the same as those of able - bodied students.	1.0
Ingrid and other loyal friends spent long hours burning the midnight oil with her when it came to the final typing.	Ingrid and other loyal friends spent long hours working studiously late into the night with her when it came to the final typing.	1.0
First up will be a central object - oriented repository for AD / Cycle, now renamed the Application Development Platform.	firstly will be a central object - oriented repository for AD / Cycle, now renamed the Application Development Platform.	1.0
First up will be a central object - oriented repository for AD / Cycle, now renamed the Application Development Platform.	before anything else will be a central object - oriented repository for AD / Cycle, now renamed the Application Development Platform.	1.0
Everything is falling into place for United's winter push towards their first title in 26 years.	Everything is being fully realized at last for United's winter push towards their first title in 26 years.	1.0
Never before had there been as many as nine of his members in a Masters field and every one of them made the cut.	Never before had there been as many as nine of his members in a Masters field and every one of them succeeded out of a group of candidates.	1.0
Ponds in a nutshell	Ponds briefly stated	1.0
Ponds in a nutshell	Ponds in summary	1.0
Trevor Radway, Chairman of the Forest of Dean Railway Company Limited, said there had been many improvements in recent times, and the railway was going from strength to strength.	Trevor Radway, Chairman of the Forest of Dean Railway Company Limited, said there had been many improvements in recent times, and the railway was getting stronger.	1.0
Now I come to think of it, most of my life was like that.	Now I on reflection, most of my life was like that.	1.0
You to buy back however many years you buy back will count in your pension and lump sum calculation at the end of the day.	You to buy back however many years you buy back will count in your pension and lump sum calculation ultimately.	1.0
it goes without saying that our glasses were constantly refilled with red or white wine by the attentive waiters.	it is obvious that our glasses were constantly refilled with red or white wine by the attentive waiters.	1.0
Any particular sequence of actual exchanges of Kula valuables serves to manifest this state of indebtedness but at the end of the day the position is as it began.	Any particular sequence of actual exchanges of Kula valuables serves to manifest this state of indebtedness but ultimately the position is as it began.	1.0
‘ One thing I can promise you, Dr Blake,’ he said softly, ‘ I never kiss and tell.’	‘ One thing I can promise you, Dr Blake,’ he said softly, ‘ I never betrayal of a confidence by disclosing private information	1.0
This could not possibly happen today, when the tourist path is the scene of processions of aspiring and perspiring walkers with many fallen by the wayside.	This could not possibly happen today, when the tourist path is the scene of processions of aspiring and perspiring walkers with many failed to be completed.	1.0
for my money I'd have it with all metal	as i see it I'd have it with all metal	1.0
I quit; I resign; I throw in the towel There.	I quit; I resign; I quit There.	0.7009063444108763
I quit; I resign; I throw in the towel There.	I quit; I resign; I give up There.	0.7009063444108763
Captain Tony Wright came in to save the day.	Captain Tony Wright came in to rescue a person from major failure.	1.0
Stop taking the piss.’	Stop tease	1.0
The Reverend is no more dated than the stereotypical class snob Colonel Mustard or the proverbial scarlet woman, Miss Scarlet.	The Reverend is no more dated than the stereotypical class snob Colonel Mustard or the proverbial woman who behaves in an adulterous manner, Miss Scarlet.	1.0
It's difficult to believe that he was expelled from nursery school at the age of three for being a ‘ smart alec’.	It's difficult to believe that he was expelled from nursery school at the age of three for being a ‘ a person who is irritating because they behaves as if they know everything.	1.0
Very soon the interest in the totality and, by the same token, the question regarding the all - embracing becoming and the resulting being begin to particularize themselves in accord with the general forms and regions of being.	Very soon the interest in the totality and, in a similar manner, the question regarding the all - embracing becoming and the resulting being begin to particularize themselves in accord with the general forms and regions of being.	1.0
Very soon the interest in the totality and, by the same token, the question regarding the all - embracing becoming and the resulting being begin to particularize themselves in accord with the general forms and regions of being.	Very soon the interest in the totality and, for a similar reason, the question regarding the all - embracing becoming and the resulting being begin to particularize themselves in accord with the general forms and regions of being.	1.0
So, you know, whilst I'm a little bit reluctant in a way I think that's water under the bridge, and in my view actually the extension improves it all.	So, you know, whilst I'm a little bit reluctant in a way I think that's in the past that cannot be undone but must be forgiven, and in my view actually the extension improves it all.	1.0
So perhaps you'll take it from me	So perhaps you'll rest assured	1.0
But then, of course’— she pulled a face now —‘I hadn't taken your husband into account, had, I? nor his charm or his wiliness.	But then, of course’— she made a facial expression that shows dislike now —‘I hadn't taken your husband into account, had, I? nor his charm or his wiliness.	1.0
It's what you were born for — to make men's heads turn and women's eyes grow green with envy for all that you have that they can never hope to achieve.’	It's what you were born for — to make men's heads turn and women's eyes grow envious to the point where it is noticeable to others for all that you have that they can never hope to achieve.’	1.0
Mr Simon Murray, leader of Honour Hong Kong, said: ‘ I am not saying we are over the moon, but it is progress.’	Mr Simon Murray, leader of Honour Hong Kong, said: ‘ I am not saying we are delighted, but it is progress.’	1.0
They rub shoulders with industrialists that oppress us, pays low wages, bad conditions	They socialize with industrialists that oppress us, pays low wages, bad conditions	1.0
The cab caught fire.	The cab became engulfed in flames.	0.7619047619047621
On the face of it one might say that an upstanding, law - abiding trade should have nothing to fear where this is concerned; they should simply not deal in masterpieces without a provenance.	at first glance one might say that an upstanding, law - abiding trade should have nothing to fear where this is concerned; they should simply not deal in masterpieces without a provenance.	1.0
On the face of it one might say that an upstanding, law - abiding trade should have nothing to fear where this is concerned; they should simply not deal in masterpieces without a provenance.	at first glance one might say that an upstanding, law - abiding trade should have nothing to fear where this is concerned; they should simply not deal in masterpieces without a provenance.	1.0
Olivetti has so far refused to play ball, effectively pocketing Saint Gobain's money which could have gone to its own computer company.	Olivetti has so far refused to cooperate, effectively pocketing Saint Gobain's money which could have gone to its own computer company.	1.0
And you were working at the ski - shop in order to keep body and soul together?’	And you were working at the ski - shop in order to survive	1.0
It's wickedly fattening, but once in a while … ’	It's wickedly fattening, but sometimes … ’	0.7650779308786988
It's wickedly fattening, but once in a while … ’	It's wickedly fattening, but occasionally … ’	0.7650779308786988
I am afraid that when working in stocking stitch, it is ‘ back to the drawing board’; you must start the sleeve at the top (if you wish to knit downwards) with the correct number of stitches.	I am afraid that when working in stocking stitch, it is ‘ back to the beginning following an unsuccessful attempt; you must start the sleeve at the top (if you wish to knit downwards) with the correct number of stitches.	0.5723702919146246
Did I look so obviously the sort to get into trouble that I couldn't go about with circles under my eyes, or telephone a doctor, or throw up once in a while, without everyone immediately jumping to a single conclusion?	Did I look so obviously the sort to get into trouble that I couldn't go about with circles under my eyes, or telephone a doctor, or throw up sometimes, without everyone immediately jumping to a single conclusion?	1.0
Did I look so obviously the sort to get into trouble that I couldn't go about with circles under my eyes, or telephone a doctor, or throw up once in a while, without everyone immediately jumping to a single conclusion?	Did I look so obviously the sort to get into trouble that I couldn't go about with circles under my eyes, or telephone a doctor, or throw up occasionally, without everyone immediately jumping to a single conclusion?	1.0
The wheel has come full circle.	The wheel has complete a cycle of transition.	1.0
The essential idea is quite simple: in the long run, an international monetary system cannot be built on a national currency – a point made a half - century ago by the Belgian - American economist Robert ~ Triffin.	The essential idea is quite simple: after a very long time, an international monetary system cannot be built on a national currency – a point made a half - century ago by the Belgian - American economist Robert ~ Triffin.	1.0
The essential idea is quite simple: in the long run, an international monetary system cannot be built on a national currency – a point made a half - century ago by the Belgian - American economist Robert ~ Triffin.	The essential idea is quite simple: over a long period of time, an international monetary system cannot be built on a national currency – a point made a half - century ago by the Belgian - American economist Robert ~ Triffin.	1.0
In other words, the fact that the speculative bubble' existed at all suggests possible short - term inefficiency, but the ‘ correction’ could suggest that markets are, in the long term, efficient.	In other words, the fact that the speculative bubble' existed at all suggests possible short - term inefficiency, but the ‘ correction’ could suggest that markets are, over a long period of time, efficient.	1.0
In other words, the fact that the speculative bubble' existed at all suggests possible short - term inefficiency, but the ‘ correction’ could suggest that markets are, in the long term, efficient.	In other words, the fact that the speculative bubble' existed at all suggests possible short - term inefficiency, but the ‘ correction’ could suggest that markets are, eventually, efficient.	1.0
LONDON – The World ~ Court ’s recent ruling on Kosovo ’s unilateral declaration of independence is being widely touted as giving a green light to secessionist movements to gain statehood.	LONDON – The World ~ Court ’s recent ruling on Kosovo ’s unilateral declaration of independence is being widely touted as giving a permission to secessionist movements to gain statehood.	1.0
The young man noticed her reaction and pulled a face.	The young man noticed her reaction and made a facial expression that shows dislike.	1.0
take it from me that I haven't seen one and if there is one I'd be grateful if somebody on your site would point it out, but to my knowledge no such document has been disclosed.	rest assured that I haven't seen one and if there is one I'd be grateful if somebody on your site would point it out, but to my knowledge no such document has been disclosed.	1.0
Mr De Haan said the original reason for going public was his father's concern that as a private company, with no market in its shares, the family might one day be faced with the prospect of having to sell the entire business to meet death duties.	Mr De Haan said the original reason for being announced publicly was his father's concern that as a private company, with no market in its shares, the family might one day be faced with the prospect of having to sell the entire business to meet death duties.	1.0
In the final analysis, every person has to motivate him or herself but high profile leadership can release energies and aspirations which we didn't know we possessed.	after considering all aspects, every person has to motivate him or herself but high profile leadership can release energies and aspirations which we didn't know we possessed.	0.7925108525734597
While watching him at work she impulsively asked to borrow his materials and followed his advice to give her imagination free rein.	While watching him at work she impulsively asked to borrow his materials and followed his advice to give her imagination absent of constraints.	1.0
MICKEY Skinner blazed a trail of glory on the London - Brighton bike race last month.	MICKEY Skinner breaked new ground of glory on the London - Brighton bike race last month.	1.0
In her wake came the likes of Chrissie Hynde, who found it easier just to wear the trousers.	In her wake came the likes of Chrissie Hynde, who found it easier just to be the commanding member of the group.	1.0
He added: ‘ Let us move beyond containment, and once and for all end the Cold War.’	He added: ‘ Let us move beyond containment, and conclusively end the Cold War.’	1.0
Turning to see an intruder in our paradise, sharp disappointment falls into place.	Turning to see an intruder in our paradise, sharp disappointment is fully realized at last.	1.0
In this day and age, Donnington is a remarkable anachronism, one that manages to combine a wealth of tradition with economic survival in the 1980s, no mean achievement!	in the current era of history, Donnington is a remarkable anachronism, one that manages to combine a wealth of tradition with economic survival in the 1980s, no mean achievement!	1.0
Keeping up appearances at work is paying off — a recent survey has revealed that women now account for 26% of managerial posts — a figure that's trebled since the late 1970's.	pretending that everything be going well at work is paying off — a recent survey has revealed that women now account for 26% of managerial posts — a figure that's trebled since the late 1970's.	1.0
They are things that you do which actually improve your department both in the short and in the long - term.	They are things that you do which actually improve your department both in the short and over a long period of time.	0.7540229885057471
They are things that you do which actually improve your department both in the short and in the long - term.	They are things that you do which actually improve your department both in the short and eventually.	0.7540229885057471
A Paul Diamond double strike, the second of which was a delightful chip, helped Second Division leaders Dale to their fourth win on the trot.	A Paul Diamond double strike, the second of which was a delightful chip, helped Second Division leaders Dale to their fourth win in succession.	1.0
A Paul Diamond double strike, the second of which was a delightful chip, helped Second Division leaders Dale to their fourth win on the trot.	A Paul Diamond double strike, the second of which was a delightful chip, helped Second Division leaders Dale to their fourth win in a row.	1.0
So it's just one of those things that you should know.	So it's just an unfortunate but unavoidable event that you should know.	1.0
‘ Too Much Junkie Business’, ‘ Chinese Rocks’ and ‘ Born To Lose’are pared close to the bone and chillingly too close too comfort.	‘ Too Much Junkie Business’, ‘ Chinese Rocks’ and ‘ Born To Lose’are pared close completely and chillingly too close too comfort.	1.0
A simple replicator, whether gene or meme, cannot be expected to forgo short - term selfish advantage even if it would really pay it, in the long term, to do so.	A simple replicator, whether gene or meme, cannot be expected to forgo short - term selfish advantage even if it would really pay it, over a long period of time, to do so.	0.7482429350461046
A simple replicator, whether gene or meme, cannot be expected to forgo short - term selfish advantage even if it would really pay it, in the long term, to do so.	A simple replicator, whether gene or meme, cannot be expected to forgo short - term selfish advantage even if it would really pay it, eventually, to do so.	0.7482429350461046
I can certainly agree with my hon . Friend — that incident was most regrettable, particularly in light of the fact that the human rights record of Indonesia had been improving in recent years.	I can certainly agree with my hon . Friend — that incident was most regrettable, particularly considering the fact that the human rights record of Indonesia had been improving in recent years.	1.0
Meanwhile, if you must use it, follow it to the letter (and grit teeth, cross fingers etc).	Meanwhile, if you must use it, follow it following the rules as written (and grit teeth, cross fingers etc).	1.0
For her the slow, wide - winged beating across the waves of morning said it was time to run to the rocks and tug in the lines and get a move on.	For her the slow, wide - winged beating across the waves of morning said it was time to run to the rocks and tug in the lines and hurry up.	1.0
TELEVISION: Telly favourites from all walks of life were put forward from Jean Boht to Peter Sissons.	TELEVISION: Telly favourites from all occuption, role, social class, or lifestyle were put forward from Jean Boht to Peter Sissons.	1.0
On this occasion, however, the details of some of the behind - the - scenes fixing were publicized by the opposition and an unprecedented public protest took place as a result.	On this occasion, however, the details of some of the secretly fixing were publicized by the opposition and an unprecedented public protest took place as a result.	1.0
On this occasion, however, the details of some of the behind - the - scenes fixing were publicized by the opposition and an unprecedented public protest took place as a result.	On this occasion, however, the details of some of the secretly fixing were publicized by the opposition and an unprecedented public protest took place as a result.	1.0
On this occasion, however, the details of some of the behind - the - scenes fixing were publicized by the opposition and an unprecedented public protest took place as a result.	On this occasion, however, the details of some of the behind the scenery and stage area fixing were publicized by the opposition and an unprecedented public protest took place as a result.	1.0
But in a no - nonsense speech to American businessmen, the Bank's Governor Robin - Leigh Pemberton issued a thinly - veiled warning to the Government to hold fire on letting millions of homeowners off the hook.	But in a no - nonsense speech to American businessmen, the Bank's Governor Robin - Leigh Pemberton issued a thinly - veiled warning to the Government to hold fire on letting millions of homeowners relieved of a duty.	1.0
Cruel observers may remark that he's been going downhill ever since.	Cruel observers may remark that he's been worsen ever since.	1.0
Indeed, it may be argued that the success of Christianity in establishing the finality of the cross in dealing with sin ‘ once and for all’ has removed from our minds its roots in the common experience of our lives.	Indeed, it may be argued that the success of Christianity in establishing the finality of the cross in dealing with sin ‘ conclusively has removed from our minds its roots in the common experience of our lives.	1.0
By the end of the nineteen fifties life in Orkney had come full circle and like everyone else we had acquired a taste for the material things in life.	By the end of the nineteen fifties life in Orkney had complete a cycle of transition and like everyone else we had acquired a taste for the material things in life.	1.0
They brought him back as a Caretaker to General Manager and really I didn't see eye to eye with him.	They brought him back as a Caretaker to General Manager and really I didn't have similar views with him.	1.0
They brought him back as a Caretaker to General Manager and really I didn't see eye to eye with him.	They brought him back as a Caretaker to General Manager and really I didn't agree with him.	1.0
Callinicos, defence of Marxism is erudite and compelling, and the fact that he runs out of steam over post - war art is of less moment than the fact that he takes the range of issues seriously enough to discuss them at all.	Callinicos, defence of Marxism is erudite and compelling, and the fact that he runs out of energy over post - war art is of less moment than the fact that he takes the range of issues seriously enough to discuss them at all.	1.0
Auctioneers had to do a lot of behind - the - scenes wheeling and dealing just to get $100,000 aircraft to sell.	Auctioneers had to do a lot of secretly wheeling and dealing just to get $100,000 aircraft to sell.	1.0
Auctioneers had to do a lot of behind - the - scenes wheeling and dealing just to get $100,000 aircraft to sell.	Auctioneers had to do a lot of secretly wheeling and dealing just to get $100,000 aircraft to sell.	1.0
Auctioneers had to do a lot of behind - the - scenes wheeling and dealing just to get $100,000 aircraft to sell.	Auctioneers had to do a lot of behind the scenery and stage area wheeling and dealing just to get $100,000 aircraft to sell.	1.0
Others publishers, with an eye on longterm prosperity, perhaps even survival, may wish to start building their launch pads from scratch and without delay.	Others publishers, with an eye on longterm prosperity, perhaps even survival, may wish to start building their launch pads from the beginning and without delay.	1.0
And it's not something that I enjoy, so that you'll try every which way to try and avoid it.	And it's not something that I enjoy, so that you'll try all over to try and avoid it.	1.0
Then out of the blue, out of the real true blue, the Messiah with a droop moustache did a runner.	Then without warning, out of the real true blue, the Messiah with a droop moustache did a runner.	1.0
Then out of the blue, out of the real true blue, the Messiah with a droop moustache did a runner.	Then unexpectedly, out of the real true blue, the Messiah with a droop moustache did a runner.	1.0
Sadler came unstuck in trying to produce this light displacement flyer alongside their range of production boats.	Sadler got into trouble in trying to produce this light displacement flyer alongside their range of production boats.	1.0
They were dead and buried!	They were forgotten!	1.0
Foreign teachers of English often joked that they could not pass TOEFL, but for the Chinese students it was no laughing matter.	Foreign teachers of English often joked that they could not pass TOEFL, but for the Chinese students it was something serious that should not be joked about.	1.0
‘ Not in the least’, he told me, ‘ In fact, it lets us off the hook and will enable us to have more freedom perhaps than before’.	‘ Not in the least’, he told me, ‘ In fact, it lets us relieved of a duty and will enable us to have more freedom perhaps than before’.	1.0
If, however, the bird looked the other way, death was inevitable.	If, however, the bird ignored things wrong, death was inevitable.	0.684968496849685
If, however, the bird looked the other way, death was inevitable.	If, however, the bird turned a blind eye, death was inevitable.	0.684968496849685
We learned a lot of poetry by heart.	We learned a lot of poetry from unaided memory and in full detail.	1.0
Each frame has all kinds of details associated with it, and the ones you can control explicitly are to do with backgrounds, wipes, sound and a few other bits and bobs like frame display timing.	Each frame has all kinds of details associated with it, and the ones you can control explicitly are to do with backgrounds, wipes, sound and a few other random assortment of things like frame display timing.	1.0
Each frame has all kinds of details associated with it, and the ones you can control explicitly are to do with backgrounds, wipes, sound and a few other bits and bobs like frame display timing.	Each frame has all kinds of details associated with it, and the ones you can control explicitly are to do with backgrounds, wipes, sound and a few other small remaining pieces and items like frame display timing.	1.0
‘ It's all gone downhill.	‘ It's all worsen.	1.0
Austerity should thus always be beneficial for solvency in the long run, even if the debt / GDP ratio deteriorates in the short run.	Austerity should thus always be beneficial for solvency after a very long time, even if the debt / GDP ratio deteriorates in the short run.	1.0
Austerity should thus always be beneficial for solvency in the long run, even if the debt / GDP ratio deteriorates in the short run.	Austerity should thus always be beneficial for solvency over a long period of time, even if the debt / GDP ratio deteriorates in the short run.	1.0
A bit hot under the collar.	A bit angry and agitated.	1.0
Work on the launch and the focus of the appeal is close to completion and we are benefitting from the good offices of our advertising industry contacts.	Work on the launch and the focus of the appeal is close to completion and we are benefitting from the influence of our advertising industry contacts.	0.7575757575757575
' Now you don't want us telling tales out of school, do you? '	' Now you don't want us gossiping, do you? '	1.0
I nip down to Engineering and borrow a remote (must keep tabs on things in London), then set off for the circus.	I nip down to Engineering and borrow a remote (must watch things in London), then set off for the circus.	0.7236925148314889
Not like now, there's this, or that, or the computers on the blink	Not like now, there's this, or that, or the computers malfunctioning	1.0
Not like now, there's this, or that, or the computers on the blink	Not like now, there's this, or that, or the computers malfunctioning	1.0
How are you and your wife doing, now that the birds have all flown the coop?	How are you and your wife doing, now that the birds have all fleed?	1.0
How are you and your wife doing, now that the birds have all flown the coop?	How are you and your wife doing, now that the birds have all departed hastily?	1.0
Once again the lack of privacy hit home hard.	Once again the lack of privacy be especially meaningful hard.	1.0
My officers find it frustrating to see the same persistant thieves out and about.	My officers find it frustrating to see the same persistant thieves traveling around.	1.0
My officers find it frustrating to see the same persistant thieves out and about.	My officers find it frustrating to see the same persistant thieves moving around.	1.0
My officers find it frustrating to see the same persistant thieves out and about.	My officers find it frustrating to see the same persistant thieves traveling around.	1.0
He bent down towards Len now and pulled a face at him.	He bent down towards Len now and made a facial expression that shows dislike at him.	1.0
They did this by tipping the scales in favour of antibody production — identifying and removing those cells known to suppress antibody production.	They did this by changing the fortunes in favour of antibody production — identifying and removing those cells known to suppress antibody production.	1.0
Then comes our Mistress to us without fail ,	Then comes our Mistress to us certainly ,	1.0
Then comes our Mistress to us without fail ,	Then comes our Mistress to us inevitably ,	1.0
Giving you a fair deal means that he should follow a reasonable procedure before taking a final decision that you must part company.	Giving you a fair deal means that he should follow a reasonable procedure before taking a final decision that you must go separate ways.	1.0
Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared to die for their country.	Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared very good their country.	0.5660846500813868
Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared to die for their country.	Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared particularly desirable their country.	0.5660846500813868
Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared to die for their country.	Another opinion poll, published in the magazine Cambio 16, found that only 8% of those questioned were prepared exquisite their country.	0.5660846500813868
In light of their impending departure, more attention was paid to retraining refugees and helping them gain new occupational skills.	considering their impending departure, more attention was paid to retraining refugees and helping them gain new occupational skills.	1.0
It is an opportunity to meet actors and find out what goes on behind the scenes with backstage tours, costume and make - up workshops, play - readings, and activities for children.	It is an opportunity to meet actors and find out what goes on secretly with backstage tours, costume and make - up workshops, play - readings, and activities for children.	0.7241851313200447
It is an opportunity to meet actors and find out what goes on behind the scenes with backstage tours, costume and make - up workshops, play - readings, and activities for children.	It is an opportunity to meet actors and find out what goes on secretly with backstage tours, costume and make - up workshops, play - readings, and activities for children.	0.7241851313200447
It is an opportunity to meet actors and find out what goes on behind the scenes with backstage tours, costume and make - up workshops, play - readings, and activities for children.	It is an opportunity to meet actors and find out what goes on behind the scenery and stage area with backstage tours, costume and make - up workshops, play - readings, and activities for children.	0.7241851313200447
SIR — In turning over a new leaf, the Labour Party would do well also to turn over a new blossom.	SIR — In starting to behave in a better way, the Labour Party would do well also to turn over a new blossom.	1.0
SIR — In turning over a new leaf, the Labour Party would do well also to turn over a new blossom.	SIR — In starting to act in a better way, the Labour Party would do well also to turn over a new blossom.	1.0
‘ Well, if you do, do you think any of them would have signed this form if it had not been all in order and above board?’	‘ Well, if you do, do you think any of them would have signed this form if it had not been all in order and open and straightforward	1.0
You cannot be tentative or apprehensive in your movements; you have to throw caution to the wind and ‘ attack’ a manoeuvre with the objective clearly in your mind.	You cannot be tentative or apprehensive in your movements; you have to do things despite the risks and ‘ attack’ a manoeuvre with the objective clearly in your mind.	1.0
Pure and simple.	plain and unadorned.	1.0
If we think of the ways in which the term research is used, a variety of activities spring to mind.	If we think of the ways in which the term research is used, a variety of activities occur as possibilities.	1.0
It was not a problem that had ever occurred before, and although Ellie knew she was probably playing with fire she was intrigued to know how it would all turn out.	It was not a problem that had ever occurred before, and although Ellie knew she was probably being in a precarious situation with a high risk of getting harmed she was intrigued to know how it would all turn out.	0.6608875535635128
Antigone still strikes a chord.	Antigone still elicit a significant reaction.	1.0
has gone on the blink again!	has gone malfunctioning again!	1.0
has gone on the blink again!	has gone malfunctioning again!	1.0
But Edinburgh was her capital city; and in Edinburgh most of the significant dramas of her life happened, or at least came to a head.	But Edinburgh was her capital city; and in Edinburgh most of the significant dramas of her life happened, or at least reached a turning point.	1.0
‘ They work hand in glove with the pharmaceutical industry and with the government,’ one ex - insider told me.	‘ They work in very close cooperation with the pharmaceutical industry and with the government,’ one ex - insider told me.	0.7665094339622641
No sooner had Mr Sharif fallen from grace than Manzoor Watoo, speaker of the assembly and an ally of the president's, set about getting himself installed as chief minister.	No sooner had Mr Sharif losed social position than Manzoor Watoo, speaker of the assembly and an ally of the president's, set about getting himself installed as chief minister.	1.0
With some people the effect was just numbing: the man would lie on his bed all day like a piece of dead wood.	With some people the effect was just numbing: the man would lie on his bed all day like a piece of personnel no longer contributing.	0.7484662576687117
ARSENAL manager George Graham has been given the green light to go on a Christmas spending spree.	ARSENAL manager George Graham has been given the permission to go on a Christmas spending spree.	1.0
China, Brazil, and Russia have offered ambitious proposals, which may bear fruit in 10 or 20 years, to make the International ~ Monetary ~ Fund ’s Special Drawing Rights a true international currency.	China, Brazil, and Russia have offered ambitious proposals, which may achieve benefit in 10 or 20 years, to make the International ~ Monetary ~ Fund ’s Special Drawing Rights a true international currency.	1.0
But he fell from grace for the first time in 1985 when he was convicted of drink - driving at Weymouth, Dorset.	But he losed status and respect for the first time in 1985 when he was convicted of drink - driving at Weymouth, Dorset.	1.0
Mr Peter Carberry, chairman of the Hummersknott governors, said: ‘ I am very annoyed but it is just one of those things.’	Mr Peter Carberry, chairman of the Hummersknott governors, said: ‘ I am very annoyed but it is just an unfortunate but unavoidable event	0.7570093457943924
Knowing Sheila she probably wanted to rule the roost and Elaine wasn't going to have it.	Knowing Sheila she probably wanted to be the controlling member of the group and Elaine wasn't going to have it.	1.0
Brilliant Brown goes for the jugular	Brilliant Brown exerts an unrestrained, aggressive effort	1.0
When the Anonymous wrote this doctrine was under a cloud and his writings are a fascinating mixture of the new logic of the late eleventh century and views of kingship of an extreme conservatism.	When the Anonymous wrote this doctrine was under suspicion and his writings are a fascinating mixture of the new logic of the late eleventh century and views of kingship of an extreme conservatism.	1.0
By the beginning of February 1989 he had enough to convince him that it was real, and he agreed to go public by talking about it at the American Physical Society meeting in Baltimore the following May.	By the beginning of February 1989 he had enough to convince him that it was real, and he agreed to be announced publicly by talking about it at the American Physical Society meeting in Baltimore the following May.	1.0
GETS the green light.	GETS the permission.	1.0
However, being a good inductivist, he did not jump to conclusions.	However, being a good inductivist, he did not make conclusions before being presented with all the evidence.	1.0
There is probably nothing to be done about people, he thought, nothing at all, nor ever has been: processed, from the cradle to the grave.	There is probably nothing to be done about people, he thought, nothing at all, nor ever has been: processed, spanning an entire lifetime.	1.0
In the final analysis it really is up to the planning officers and the planning committee to decide whether the benefits which it will bring to the locality outweigh the objectors' views.	after considering all aspects it really is up to the planning officers and the planning committee to decide whether the benefits which it will bring to the locality outweigh the objectors' views.	1.0
Water authorities that will make a splash: Jeremy Warner on investment in the floated water authorities	Water authorities that will attract attention: Jeremy Warner on investment in the floated water authorities	1.0
It's bad enough crossing the Atlantic on one of those things, but imagine the g - forces that would build up if you … ’	It's bad enough crossing the Atlantic on an unfortunate but unavoidable event, but imagine the g - forces that would build up if you … ’	0.7406340057636888
But it is always unwise to jump to conclusions about Lebanese atrocities.	But it is always unwise to make conclusions before being presented with all the evidence about Lebanese atrocities.	1.0
‘ Now I come to think of it,’ he said, easing himself down into the depths of his very easy chair, ‘ that Mrs Entwhistle from the corner said there was something about your dad in one of the Sunday papers, I don't remember which.’	‘ Now I on reflection he said, easing himself down into the depths of his very easy chair, ‘ that Mrs Entwhistle from the corner said there was something about your dad in one of the Sunday papers, I don't remember which.’	1.0
pissed off with him	left with him	1.0
I announce that I plan to throw one honey of a tantrum, complete with sound effects and meteorological events, if I am not instantly issued with a remote to keep tabs on my subject.	I announce that I plan to throw one honey of a tantrum, complete with sound effects and meteorological events, if I am not instantly issued with a remote to watch my subject.	1.0
In the long term treating your staff and potential staff well will increase your chances of attracting high - calibre applicants for job vacancies.	over a long period of time treating your staff and potential staff well will increase your chances of attracting high - calibre applicants for job vacancies.	0.7524959368469933
